NCBI_Bioproject,ReferenceGenome,BioSample,SRA_Data
PRJNA646837,GCF_015325925.1_ASM1532592v1_genomic.gbff.gz,SAMN15566652,SRR12245543
PRJNA646837,GCF_015476295.1_ASM1547629v1_genomic.gbff.gz,SAMN15566645,SRR12245551
PRJNA646837,GCF_015999405.1_ASM1599940v1_genomic.gbff.gz,SAMN15566671,SRR12245561
PRJNA646837,GCF_015999425.1_ASM1599942v1_genomic.gbff.gz,SAMN15566664,SRR12245530
PRJNA646837,GCF_016126855.1_ASM1612685v1_genomic.gbff.gz,SAMN17054651,NA
PRJNA646837,GCF_017584065.1_ASM1758406v1_genomic.gbff.gz,SAMN15566637,SRR12245557
PRJNA646837,GCF_020149785.1_ASM2014978v1_genomic.gbff.gz,SAMEA3356962,ERR1023752
PRJNA646837,GCF_020149805.1_ASM2014980v1_genomic.gbff.gz,SAMEA3357250,ERR1015285
PRJNA646837,GCF_020149825.1_ASM2014982v1_genomic.gbff.gz,SAMEA3357427,ERR1023695
PRJNA646837,GCF_020149875.1_ASM2014987v1_genomic.gbff.gz,SAMEA3357001,ERR1008677
PRJNA646837,GCF_020149895.1_ASM2014989v1_genomic.gbff.gz,SAMEA3357330,ERR1023633
PRJNA646837,GCF_026153135.1_ASM2615313v1_genomic.gbff.gz,SAMEA3357157,ERR1008756
PRJNA646837,GCF_026154285.1_ASM2615428v1_genomic.gbff.gz,SAMEA3357035,ERR1008693
PRJNA646837,GCF_026168415.1_ASM2616841v1_genomic.gbff.gz,SAMN06112218,SRR5082459
PRJNA646837,GCF_904859905.1_MSB1_1H_genomic.gbff.gz,SAMEA3357462,ERR1015367
PRJNA646837,GCF_904863055.1_INF022_genomic.gbff.gz,SAMEA3356968,ERR1023755
PRJNA646837,GCF_904863075.1_INF334_genomic.gbff.gz,SAMEA3357214,ERR1008784
PRJNA646837,GCF_904863085.1_MINF_10B_genomic.gbff.gz,SAMEA3357515,ERR1015409
PRJNA646837,GCF_904863095.1_INF174_genomic.gbff.gz,SAMEA3357107,ERR1023812
PRJNA646837,GCF_904863105.1_MINF_1D_genomic.gbff.gz,SAMEA3357523,ERR1015416
PRJNA646837,GCF_904863115.1_INF329_genomic.gbff.gz,SAMEA3357208,ERR1008781
PRJNA646837,GCF_904863125.1_INF357_genomic.gbff.gz,SAMEA3357260,ERR1023722
PRJNA646837,GCF_904863135.1_INF310_genomic.gbff.gz,SAMEA3357175,ERR1008765
PRJNA646837,GCF_904863145.1_INF072_genomic.gbff.gz,SAMEA3357068,ERR1008631
PRJNA646837,GCF_904863195.1_INF133_genomic.gbff.gz,SAMEA3357033,ERR1008692
PRJNA646837,GCF_904863205.1_INF008_genomic.gbff.gz,SAMEA3356952,ERR1023744
PRJNA646837,GCF_904863215.1_INF277_genomic.gbff.gz,SAMN06112222,SRR5082454
PRJNA646837,GCF_904863225.1_KSB1_6J_genomic.gbff.gz,SAMN06112204,SRR5082446
PRJNA646837,GCF_904863235.1_MINF_7C_genomic.gbff.gz,SAMEA3357519,ERR1015413
PRJNA646837,GCF_904863245.1_INF355_genomic.gbff.gz,SAMEA3357256,ERR1015288
PRJNA646837,GCF_904863255.1_MINF_9A_genomic.gbff.gz,SAMEA3357504,ERR1015399
PRJNA646837,GCF_904863265.1_INF156_genomic.gbff.gz,SAMEA3357075,ERR1023799
PRJNA646837,GCF_904863275.1_INF188_genomic.gbff.gz,SAMEA3357126,ERR1023825
PRJNA646837,GCF_904863285.1_INF231_genomic.gbff.gz,SAMEA3357192,ERR1023866
PRJNA646837,GCF_904863295.1_KSB2_2B_genomic.gbff.gz,SAMEA3357408,ERR1023686
PRJNA646837,GCF_904863305.1_MSB1_3B_genomic.gbff.gz,SAMEA3357475,ERR1023714
PRJNA646837,GCF_904863325.1_INF354_genomic.gbff.gz,SAMEA3357254,ERR1015287
PRJNA646837,GCF_904863335.1_KSB1_5B_genomic.gbff.gz,SAMN06112194,SRR5082451
PRJNA646837,GCF_904863345.1_MSB1_10D_genomic.gbff.gz,SAMEA3357409,ERR1015346
PRJNA646837,GCF_904863355.1_INF148_genomic.gbff.gz,SAMEA3357060,ERR1008705
PRJNA646837,GCF_904863365.1_INF049_genomic.gbff.gz,SAMEA3357023,ERR1023782
PRJNA646837,GCF_904863375.1_MINF_1A_genomic.gbff.gz,SAMEA3357499,ERR1015394
PRJNA646837,GCF_904863385.1_MSB1_1A_genomic.gbff.gz,SAMEA3357452,ERR1023706
PRJNA646837,GCF_904863395.1_INF250_genomic.gbff.gz,SAMEA3357225,ERR1008715
PRJNA646837,GCF_904863405.1_INF215_genomic.gbff.gz,SAMEA3357158,ERR1023852
PRJNA646837,GCF_904863425.1_INF348_genomic.gbff.gz,SAMEA3357241,ERR1015281
PRJNA646837,GCF_904863435.1_KSB1_1B_genomic.gbff.gz,SAMN07738870,SRR6175453
PRJNA646837,GCF_904863445.1_MSB1_9D_genomic.gbff.gz,SAMEA3357407,ERR1015345
PRJNA646837,GCF_904864445.1_KSB1_6G_genomic.gbff.gz,SAMEA3357345,ERR1023648
PRJNA646837,GCF_904864465.1_INF298_genomic.gbff.gz,SAMN06112224,SRR5082469
PRJNA646837,GCF_904864475.1_INF168_genomic.gbff.gz,SAMEA3357096,ERR1023807
PRJNA646837,GCF_904864505.1_INF331_genomic.gbff.gz,SAMEA3357212,ERR1008783
PRJNA646837,GCF_904864515.1_KSB2_2C_genomic.gbff.gz,SAMEA3357423,ERR1215632
PRJNA646837,GCF_904864525.1_INF350_genomic.gbff.gz,SAMEA3357245,ERR1015283
PRJNA646837,GCF_904864535.1_INF313_genomic.gbff.gz,SAMEA3357177,ERR1008766
PRJNA646837,GCF_904864545.1_KSB1_9J_genomic.gbff.gz,SAMEA3357378,ERR1023673
PRJNA646837,GCF_904864555.1_MSB1_7C_genomic.gbff.gz,SAMEA3357386,ERR1015334
PRJNA646837,GCF_904864565.1_INF032_genomic.gbff.gz,SAMEA3356991,ERR1023765
PRJNA646837,GCF_904864595.1_INF333_genomic.gbff.gz,SAMN06112228,SRR5082463
PRJNA646837,GCF_904864605.1_INF044_genomic.gbff.gz,SAMEA3357013,ERR1023777
PRJNA646837,GCF_904864615.1_MSB1_7A_genomic.gbff.gz,SAMEA3357463,ERR1023710
PRJNA646837,GCF_904864625.1_INF171_genomic.gbff.gz,SAMEA3357101,ERR1023809
PRJNA646837,GCF_904864635.1_MSB2_1A_genomic.gbff.gz,SAMEA3357497,ERR1015392
PRJNA646837,GCF_904864645.1_INF079_genomic.gbff.gz,SAMEA3357081,ERR1008638
PRJNA646837,GCF_904865655.1_MSB1_8B_genomic.gbff.gz,SAMEA3357369,ERR1015326
PRJNA646837,GCF_904865675.1_INF358_genomic.gbff.gz,SAMEA3357262,ERR1015290
PRJNA646837,GCF_904865685.1_INF182_genomic.gbff.gz,SAMEA3357121,ERR1023820
PRJNA646837,GCF_904865695.1_INF319_genomic.gbff.gz,SAMEA3357187,ERR1008772
PRJNA646837,GCF_904865715.1_KSB1_5H_genomic.gbff.gz,SAMEA3357352,ERR1215631
PRJNA646837,GCF_904865725.1_MINF_4A_genomic.gbff.gz,SAMEA3357501,ERR1015396
PRJNA646837,GCF_904865735.1_INF361_genomic.gbff.gz,SAMEA3357269,ERR1015293
PRJNA646837,GCF_904865745.1_INF247_genomic.gbff.gz,SAMEA3357219,ERR1008712
PRJNA646837,GCF_904865755.1_INF341_genomic.gbff.gz,SAMEA3357226,ERR1008790
PRJNA646837,GCF_904865765.1_KSB2_9A_genomic.gbff.gz,SAMEA3357401,ERR1023683
PRJNA646837,GCF_904865785.1_INF142_genomic.gbff.gz,SAMEA3357050,ERR1008700
PRJNA646837,GCF_904865795.1_KSB2_10B_genomic.gbff.gz,SAMEA3357419,ERR1023692
PRJNA646837,GCF_904865805.1_INF144_genomic.gbff.gz,SAMEA3357052,ERR1008701
PRJNA646837,GCF_904865815.1_INF281_genomic.gbff.gz,SAMEA3357277,ERR1008739
PRJNA646837,GCF_904865825.1_INF018_genomic.gbff.gz,SAMEA3356961,ERR1023751
PRJNA646837,GCF_904865835.1_MSB1_9I_genomic.gbff.gz,SAMEA3357485,ERR1015380
PRJNA646837,GCF_904865845.1_INF302_genomic.gbff.gz,SAMEA3357161,ERR1008758
PRJNA646837,GCF_904866195.1_INF327_genomic.gbff.gz,SAMEA3357203,ERR1008779
PRJNA646837,GCF_904866205.1_INF145_genomic.gbff.gz,SAMEA3357054,ERR1008702
PRJNA646837,GCF_904866215.1_INF359_genomic.gbff.gz,SAMEA3357265,ERR1015291
PRJNA646837,GCF_904866225.1_MSB1_8G_genomic.gbff.gz,SAMEA3357457,ERR1015365
PRJNA646837,GCF_904866235.1_INF122_genomic.gbff.gz,SAMEA3357009,ERR1008681
PRJNA646837,GCF_904866255.1_INF223_genomic.gbff.gz,SAMEA3357174,ERR1023860
PRJNA646837,GCF_904866275.1_MINF_7A_genomic.gbff.gz,SAMEA3357502,ERR1015397
PRJNA646837,GCF_904866285.1_INF344_genomic.gbff.gz,SAMEA3357233,ERR1008791
PRJNA646837,GCF_904866295.1_KSB2_1C_genomic.gbff.gz,SAMEA3357421,ERR1023693
PRJNA646837,GCF_904866305.1_MINF_2E_genomic.gbff.gz,SAMEA3357530,ERR1015422
PRJNA646837,GCF_904866315.1_INF346_genomic.gbff.gz,SAMEA3357237,ERR1008793
PRJNA646837,GCF_904866325.1_INF299_genomic.gbff.gz,SAMEA3357155,ERR1008755
PRJNA646837,GCF_904866335.1_INF266_genomic.gbff.gz,SAMEA3357253,ERR1008728
PRJNA646837,GCF_904866345.1_MINF_8D_genomic.gbff.gz,SAMEA3357527,ERR1015419
PRJNA646837,GCF_904866365.1_MSB1_9C_genomic.gbff.gz,SAMEA3357389,ERR1215623
PRJNA646837,GCF_904866375.1_INF242_genomic.gbff.gz,SAMEA3357211,ERR1035988
PRJNA646837,GCF_904866395.1_INF321_genomic.gbff.gz,SAMEA3357191,ERR1008774
PRJNA646837,GCF_904866405.1_INF279_genomic.gbff.gz,SAMEA3357273,ERR1008738
PRJNA646837,GCF_904866415.1_INF201_genomic.gbff.gz,SAMEA3357140,ERR1023838
PRJNA646837,GCF_904866425.1_INF065_genomic.gbff.gz,SAMEA3357053,ERR1023796
PRJNA646837,GCF_904866435.1_INF119_genomic.gbff.gz,SAMEA3357003,ERR1008678
PRJNA646837,GCF_904866445.1_INF305_genomic.gbff.gz,SAMEA3357165,ERR1008760
PRJNA646837,GCF_904866455.1_MSB1_4E_genomic.gbff.gz,SAMEA3357417,ERR1015350
PRJNA646837,GCF_904866465.1_INF161_genomic.gbff.gz,SAMEA3357086,ERR1023804
PRJNA646837,GCF_904866475.1_KSB2_9B_genomic.gbff.gz,SAMN06112206,SRR5082486
PRJNA646837,GCF_904866485.1_KSB1_1H_genomic.gbff.gz,SAMN06112200,SRR5082487
PRJNA646837,GCF_904866495.1_MSB1_6C_genomic.gbff.gz,SAMEA3357384,ERR1015333
PRJNA646837,GCF_904866505.1_INF323_genomic.gbff.gz,SAMEA3357196,ERR1008776
PRJNA646837,GCF_904866535.1_KSB1_8C_genomic.gbff.gz,SAMEA3357311,ERR1015312
PRJNA646837,GCF_904866555.1_INF102_genomic.gbff.gz,SAMEA3356970,ERR1008661
PRJNA646837,GCF_905071835.1_MSB1_4I_genomic.gbff.gz,SAMEA3357480,ERR1015376
PRJNA646837,GCF_905071865.1_MSB1_1D_genomic.gbff.gz,SAMEA3357393,ERR1015337
PRJNA646837,GCF_905071885.1_MINF_3A_genomic.gbff.gz,SAMEA3357500,ERR1015395